A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Iniciando Entrenamiento PPO en Frogger
Dispositivo: cuda:0
Número de episodios: 1500
Episodio 1390/1500 | Recompensa Promedio: 22.10
Episodio 1400/1500 | Recompensa Promedio: 22.50
Checkpoint guardado en checkpoints/ppo_frogger_episodio_1400.pt
Episodio 1410/1500 | Recompensa Promedio: 29.80
Episodio 1420/1500 | Recompensa Promedio: 25.50
Episodio 1430/1500 | Recompensa Promedio: 24.50
Episodio 1440/1500 | Recompensa Promedio: 25.20
Episodio 1450/1500 | Recompensa Promedio: 25.70
Episodio 1460/1500 | Recompensa Promedio: 26.30
Episodio 1470/1500 | Recompensa Promedio: 25.40
Episodio 1480/1500 | Recompensa Promedio: 22.10
Episodio 1490/1500 | Recompensa Promedio: 32.30
Episodio 1500/1500 | Recompensa Promedio: 24.10
Checkpoint guardado en checkpoints/ppo_frogger_episodio_1500.pt

Entrenamiento Completo!
Checkpoint guardado en checkpoints/ppo_frogger_final.pt/home/diego/workspace/tarea2_RL/utils.py:73: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()

Curvas de entrenamiento guardadas en curvas_entrenamiento.png
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
/home/diego/anaconda3/lib/python3.13/site-packages/gymnasium/wrappers/rendering.py:293: UserWarning: [33mWARN: Overwriting existing videos at /home/diego/workspace/tarea2_RL/videos_evaluacion folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
State dict de red PPO cargado desde checkpoints/ppo_frogger_final.pt

Evaluando agente por 30 episodios...
Episodio 1: Recompensa = 26.0, Longitud = 289
Episodio 2: Recompensa = 36.0, Longitud = 347
Episodio 3: Recompensa = 22.0, Longitud = 272
Episodio 4: Recompensa = 18.0, Longitud = 303
Episodio 5: Recompensa = 29.0, Longitud = 303
Episodio 6: Recompensa = 33.0, Longitud = 360
Episodio 7: Recompensa = 21.0, Longitud = 274
Episodio 8: Recompensa = 17.0, Longitud = 263
Episodio 9: Recompensa = 25.0, Longitud = 270
Episodio 10: Recompensa = 32.0, Longitud = 351
Episodio 11: Recompensa = 26.0, Longitud = 370
Episodio 12: Recompensa = 21.0, Longitud = 258
Episodio 13: Recompensa = 28.0, Longitud = 291
Episodio 14: Recompensa = 27.0, Longitud = 266
Episodio 15: Recompensa = 22.0, Longitud = 297
Episodio 16: Recompensa = 24.0, Longitud = 346
Episodio 17: Recompensa = 25.0, Longitud = 279
Episodio 18: Recompensa = 23.0, Longitud = 313
Episodio 19: Recompensa = 23.0, Longitud = 281
Episodio 20: Recompensa = 28.0, Longitud = 355
Episodio 21: Recompensa = 17.0, Longitud = 230
Episodio 22: Recompensa = 23.0, Longitud = 340
Episodio 23: Recompensa = 25.0, Longitud = 268
Episodio 24: Recompensa = 26.0, Longitud = 276
Episodio 25: Recompensa = 20.0, Longitud = 269
Episodio 26: Recompensa = 19.0, Longitud = 258
Episodio 27: Recompensa = 25.0, Longitud = 271
Episodio 28: Recompensa = 35.0, Longitud = 398
Episodio 29: Recompensa = 28.0, Longitud = 349
Episodio 30: Recompensa = 21.0, Longitud = 301

Resultados de Evaluación:
  Recompensa Media: 24.83 ± 4.83

Videos guardados en ./videos_evaluacion
Abriendo video con xdg-open: videos_evaluacion/rl-video-episode-8.mp4
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
